,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
135,136,Қашқадарё вилояти,Косон тумани,Умумий амалиёт врачи / Врач общей практики,КОСОН ТУМАН ТИББИЁТ БИРЛАШМАСИ,201615066,1300000,1.0,35,2019-10-31
136,137,Самарқанд вилояти,Пайариқ тумани,Умумий амалиёт врачи / Врач общей практики,ПАЙАРИК МАРКАЗИЙ КАСАЛХОНАСИ,200760814,1357000,1.0,4,2019-10-31
137,138,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,2,2019-10-31
138,139,Наманган вилояти,Чуст тумани,Ётоқхона фарроши / Уборщик общежития,7-СОНЛИ МАКТАБ ИНТЕРНАТИ,200066316,577712,1.0,1,2019-10-31
139,140,Фарғона вилояти,Марғилон шаҳар,ўқитувчи / Преподаватель,ПЕДАГОГИКА БИЛИМ ЮРТИ,200139019,394822,0.25,25,2019-10-31
140,141,Фарғона вилояти,Марғилон шаҳар,Мусиқий дастурлар овоз оператори / Звукооператор музыкальных программ,2-BO`SM,303911027,668529,0.5,1,2019-10-31
141,142,Хоразм вилояти,Урганч тумани,ўт ёқувчи / Истопник,14-СОН УМУМИЙ УРТА ТАЪЛИМ МАКТ,206906071,740000,1.0,3,2019-10-31
142,143,Тошкент шаҳри,Шайхонтохур тумани,Бош эпидемиолог / Главный эпидемиолог,SHOGAQK MARKAZI,203525880,3140582,1.0,2,2019-10-31
143,144,Қашқадарё вилояти,Косон тумани,Барча номдаги тиббиёт ҳамшираси / Медицинская сестра всех наименований (мужской род — Медицинский брат всех наименований),КОСОН ТУМАН ТИББИЁТ БИРЛАШМАСИ,201615066,638800,1.0,11,2019-10-31
144,145,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,42-ОРТА МЕКТЕП,205187620,925164,0.5,1,2019-10-31
145,146,Қорақалпоғистон Республикаси,Шўманай тумани,Врач-хирург (ҳамма номдаги хирургик мутахассисликлар) / Врач-хирург (все хирургические специальности),ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560332,1.0,3,2019-10-31
146,147,Сурхондарё вилояти,Термиз шаҳар,Энергетика бўйича бош мутахассис / Главный специалист по энергетике,ТЕРМИЗ ОЛИМПИЯ ЗАХИРАЛАРИ КАСБ ХУНАР КОЛЛЕЖИ,205188643,798959,1.0,1,2019-10-31
147,148,Фарғона вилояти,Марғилон шаҳар,қозончи / Котельщик,ПЕДАГОГИКА БИЛИМ ЮРТИ,200139019,634880,1.0,2,2019-10-31
148,149,Фарғона вилояти,Марғилон шаҳар,Хореограф / Хореограф,2-BO`SM,303911027,668529,0.5,1,2019-10-31
149,150,Тошкент шаҳри,Шайхонтохур тумани,Лаборант-бактериолог / Лаборант-бактериолог,SHOGAQK MARKAZI,203525880,3140582,1.0,8,2019-10-31
150,151,Қашқадарё вилояти,Косон тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,КОСОН ТУМАН ТИББИЁТ БИРЛАШМАСИ,201615066,638800,1.0,2,2019-10-31
151,152,Жиззах вилояти,Ғаллаорол тумани,Ёрдамчи ишчи / Подсобный рабочий,MARJON BIZNES STAR ХК,305448514,800000,1.0,2,2019-10-31
152,153,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,42-ОРТА МЕКТЕП,205187620,219000,0.25,1,2019-10-31
153,154,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,858158,0.25,1,2019-10-31
154,155,Сурхондарё вилояти,Термиз шаҳар,Психолог / Главный психолог,ТЕРМИЗ ОЛИМПИЯ ЗАХИРАЛАРИ КАСБ ХУНАР КОЛЛЕЖИ,205188643,1033856,1.0,2,2019-10-31
155,156,Тошкент вилояти,Ўртачирчиқ тумани,Бош бухгалтер ўринбосари / Заместитель главного бухгалтера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""EDEM - SERVIS""",305927448,750000,1.0,1,2019-10-31
156,157,Тошкент шаҳри,Шайхонтохур тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",SHOGAQK MARKAZI,203525880,3140582,1.0,2,2019-10-31
157,158,Қашқадарё вилояти,Қарши шаҳар,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,9-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,202495865,1500000,1.0,1,2019-10-31
158,159,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,1,2019-10-31
159,160,Сурхондарё вилояти,Термиз шаҳар,Бино ва иншоотлар назоратчиси / Смотритель зданий и сооружений,ТЕРМИЗ ОЛИМПИЯ ЗАХИРАЛАРИ КАСБ ХУНАР КОЛЛЕЖИ,205188643,668401,1.0,1,2019-10-31
160,161,Қорақалпоғистон Республикаси,Амударё тумани,Ёрдамчи ишчи / Разнорабочий,ООО MANGITAGRO,306306744,634880,1.0,3,2019-10-31
161,162,Сурхондарё вилояти,Узун тумани,ўқитувчи / Учитель,12-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206863000,1200000,1.0,6,2019-10-31
162,163,Қорақалпоғистон Республикаси,Шўманай тумани,Инспектор / Инспектор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""YONG`INDAN Q`ORIQLASH XIZMATI""",305077604,602431,1.0,8,2019-10-31
163,164,Тошкент шаҳри,Шайхонтохур тумани,Олий маълумотли ҳамшира / Медицинская сестра с высшим образованием,SHOGAQK MARKAZI,203525880,2145255,0.5,1,2019-10-31
164,165,Қашқадарё вилояти,Қарши шаҳар,Хизмат хоналари фарроши / Уборщик служебных помещений,9-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,202495865,520000,1.0,1,2019-10-31
165,166,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,1,2019-10-31
166,167,Тошкент шаҳри,Шайхонтохур тумани,Бактериолог / Лаборант химико-бактериологического анализа,SHOGAQK MARKAZI,203525880,2145255,1.0,1,2019-10-31
167,168,Қашқадарё вилояти,Қарши шаҳар,Худуд фарроши / Уборщик территорий,9-СОНЛИ УРТА ТАЪЛИМ МАКТАБИ,202495865,520000,1.0,1,2019-10-31
168,169,Бухоро вилояти,Ромитан туман,Ёрдамчи ишчи / Подсобный рабочий,Melnic Color mas'uliyati cheklangan jamiyati,304905903,1000000,1.0,10,2019-10-31
169,170,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,1,2019-10-31
170,171,Тошкент шаҳри,Чилонзор тумани,Маникюрчи / Маникюрша,ELEGANT-STILE-SHANSON XK,205854384,650000,1.0,1,2019-10-31
171,172,Хоразм вилояти,Урганч шаҳар,Мусиқа раҳбари / Руководитель музыкальный,ХТБ 13-СОН МАКТАБГАЧА ТАЛ МУАС,207026423,956082,0.5,1,2019-10-31
172,173,Навоий вилояти,Навоий шаҳар,ўқитувчи / Преподаватель,13-УРТА МАКТАБ,200006064,532812,0.25,1,2019-10-31
173,174,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1560000,1.0,2,2019-10-31
174,175,Бухоро вилояти,Когон туман,Ижтимоий педагог / Педагог социальный,16-СОН УРТА МАКТАБ,202142569,478000,0.25,1,2019-10-31
175,176,Наманган вилояти,Тўрақўрғон тумани,"Устахона (маёқ, механик-таъмирлаш,  реставрация, муқовалаш, ишлаб чиқариш, ёруғлик ёрдамида нусха кўчириш ва бошқалар) мудири / Заведующий мастерской (маячной, ремонтно-механической, реставрационной, переплетной, производственной, светокопировальной и других)",ТУРАКУРГОН МЕХАНИКА-ИКТИСОДИЕТКОЛЛЕЖИ,202093567,1098852,1.0,1,2019-10-31
176,177,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,40-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203259437,1250000,1.0,2,2019-10-31
177,178,Тошкент шаҳри,Мирзо Улуғбек тумани,Етакчи мухандис / Ведущий инженер,O ZOG IRSANOATLOYIHA AJ,200523238,1837700,1.0,2,2019-10-31
178,179,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1895054,1.0,1,2019-10-31
179,180,Бухоро вилояти,Когон туман,Ижтимоий педагог / Педагог социальный,16-СОН УРТА МАКТАБ,202142569,1200000,0.75,1,2019-10-31
180,181,Бухоро вилояти,Когон туман,Ижтимоий педагог / Педагог социальный,15 УРТА МАКТАБ,203214065,1550000,1.0,1,2019-10-31
181,182,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,40-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203259437,850000,0.5,1,2019-10-31
182,183,Тошкент шаҳри,Мирзо Улуғбек тумани,Инженер / Инженер,O ZOG IRSANOATLOYIHA AJ,200523238,1537500,1.0,2,2019-10-31
183,184,Навоий вилояти,Навоий шаҳар,Психолог / Главный психолог,13-УРТА МАКТАБ,200006064,1598436,1.0,1,2019-10-31
184,185,Қорақалпоғистон Республикаси,Шўманай тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",ШУМАНАЙСКИЙ РАЙОННЫЙ БОЛЬНИЦА,200399621,1895054,0.75,1,2019-10-31
185,186,Хоразм вилояти,Қўшкўпир тумани,ўт ёқувчи / Истопник,1-ЖАХОН ТИЛЛАРЛИЦЕЙ ИНТЕРНАТ,203245304,807327,1.0,5,2019-10-31
186,187,Сурхондарё вилояти,Сариосиё тумани,ўқитувчи / Учитель,ЛИЦЕЙ 1,200494654,1407000,1.0,2,2019-10-31
187,188,Бухоро вилояти,Когон туман,Ижтимоий педагог / Педагог социальный,15 УРТА МАКТАБ,203214065,1600000,1.0,1,2019-10-31
